task,Class_Names,#cPkgClasses,classScope,cIsAbstract,cNestingLevel,#cImports,#cNativeImports,cNativeImportsList,#cInherits,#cImplements
Abbreviations,.Abbreviations,1.0,public,0.0,0.0,7.0,7.0,"java.io.IOException,java.nio.file.Files,java.nio.file.Path,java.nio.file.Paths,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
ABC,.ABC,1.0,public,0.0,0.0,3.0,3.0,"java.util.Arrays,java.util.Collections,java.util.List",0.0,0.0
AbelianSandpileModel,.AbelianSandpileModel,2.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
AbelianSandpileModel,.Sandpile,2.0,default,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
AbundantOddNumbers,.AbundantOddNumbers,1.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
Accumulator,.Accumulator,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
AccumulatorFactory,.AccumulatorFactory,1.0,public,0.0,0.0,1.0,1.0,java.util.function.UnaryOperator,0.0,0.0
AchillesNumbers,.AchillesNumbers,1.0,public,0.0,0.0,5.0,5.0,"java.util.ArrayList,java.util.Collections,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
additivePrimes,.additivePrimes,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ADFGVXCipher,.ADFGVXCipher,1.0,public,0.0,0.0,7.0,7.0,"java.io.IOException,java.nio.file.Files,java.nio.file.Path,java.util.Arrays,java.util.Collections,java.util.List,java.util.stream.Collectors",0.0,0.0
AksTest,.AksTest,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
AlgorithmS,.AlgorithmS,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
AliquotSequenceClassifications,.AliquotSequenceClassifications,1.0,public,0.0,0.0,4.0,4.0,"java.util.ArrayList,java.util.Arrays,java.util.List,java.util.stream.LongStream",0.0,0.0
AllSameCharacters,.AllSameCharacters,1.0,public,0.0,0.0,1.0,1.0,java.util.OptionalInt,0.0,0.0
