task,included,url,N_small,N_large,N_medium,command_line
binarytrees_v2,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/binarytrees-javavm-2.html,7,21,14,/opt/src/jdk-23/bin/java -cp . binarytrees
binarytrees_v3,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/binarytrees-javavm-3.html,7,21,14,/opt/src/jdk-23/bin/java -cp . binarytrees
binarytrees_v4,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/binarytrees-javavm-4.html,7,21,14,/opt/src/jdk-23/bin/java -cp . binarytrees
binarytrees_v6,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/binarytrees-javavm-6.html,7,21,14,/opt/src/jdk-23/bin/java -cp . binarytrees
binarytrees_v7,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/binarytrees-javavm-7.html,7,21,14,/opt/src/jdk-23/bin/java -cp . binarytrees
fannkuchredux_v1,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fannkuchredux-javavm-1.html,10,12,11,/opt/src/jdk-23/bin/java -cp . fannkuchredux
fannkuchredux_v2,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fannkuchredux-javavm-2.html,10,12,11,/opt/src/jdk-23/bin/java -cp . fannkuchredux
fannkuchredux_v3,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fannkuchredux-javavm-3.html,10,12,11,/opt/src/jdk-23/bin/java -cp . fannkuchredux
fannkuchredux_v8,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fannkuchredux-javavm-8.html,10,12,11,/opt/src/jdk-23/bin/java -cp . fannkuchredux
fasta_v2,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fasta-javavm-2.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp . fasta
fasta_v4,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fasta-javavm-4.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp . fasta
fasta_v5,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fasta-javavm-5.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp . fasta
fasta_v6,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fasta-javavm-6.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp . fasta
fasta_v8,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/fasta-javavm-8.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp . fasta
knucleotide_v1,FALSE,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/knucleotide-javavm-1.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp .:/opt/src/java-libs/fastutil-8.3.1.jar knucleotide
knucleotide_v3,FALSE,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/knucleotide-javavm-3.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp .:/opt/src/java-libs/fastutil-8.3.1.jar knucleotide
knucleotide_v4,FALSE,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/knucleotide-javavm-4.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp .:/opt/src/java-libs/fastutil-8.3.1.jar knucleotide
knucleotide_v5,FALSE,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/knucleotide-javavm-5.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp .:/opt/src/java-libs/fastutil-8.3.1.jar knucleotide
knucleotide_v6,FALSE,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/knucleotide-javavm-6.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp .:/opt/src/java-libs/fastutil-8.3.1.jar knucleotide
knucleotide_v8,FALSE,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/knucleotide-javavm-8.html,250000,25000000,12625000,/opt/src/jdk-23/bin/java -cp .:/opt/src/java-libs/fastutil-8.3.1.jar knucleotide
mandelbrot_v1,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/mandelbrot-javavm-1.html,1000,16000,8500,/opt/src/jdk-23/bin/java -cp . mandelbrot
mandelbrot_v2,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/mandelbrot-javavm-2.html,1000,16000,8500,/opt/src/jdk-23/bin/java -cp . mandelbrot
mandelbrot_v3,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/mandelbrot-javavm-3.html,1000,16000,8500,/opt/src/jdk-23/bin/java -cp . mandelbrot
mandelbrot_v4,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/mandelbrot-javavm-4.html,1000,16000,8500,/opt/src/jdk-23/bin/java -cp . mandelbrot
mandelbrot_v6,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/mandelbrot-javavm-6.html,1000,16000,8500,/opt/src/jdk-23/bin/java -cp . mandelbrot
mandelbrot_v8,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/mandelbrot-javavm-8.html,1000,16000,8500,/opt/src/jdk-23/bin/java -cp . mandelbrot
nbody_v1,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/nbody-javavm-1.html,500000,50000000,25250000,/opt/src/jdk-23/bin/java -cp . nbody
nbody_v2,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/nbody-javavm-2.html,500000,50000000,25250000,/opt/src/jdk-23/bin/java -cp . nbody
nbody_v3,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/nbody-javavm-3.html,500000,50000000,25250000,/opt/src/jdk-23/bin/java -cp . nbody
nbody_v4,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/nbody-javavm-4.html,500000,50000000,25250000,/opt/src/jdk-23/bin/java -cp . nbody
nbody_v5,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/nbody-javavm-5.html,500000,50000000,25250000,/opt/src/jdk-23/bin/java -cp . nbody
nbody_v8,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/nbody-javavm-8.html,500000,50000000,25250000,/opt/src/jdk-23/bin/java -cp . nbody
pidigits_v1,,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/pidigits-javavm-1.html,2000,10000,6000,/opt/src/jdk-23/bin/java --enable-native-access=ALL-UNNAMED -Djava.library.path=Include/java -cp . pidigits
pidigits_v2,FALSE,https://benchmarksgame-team.pages.debian.net/benchmarksgame/program/pidigits-javavm-2.html,2000,10000,6000,/opt/src/jdk-23/bin/java --enable-native-access=ALL-UNNAMED -Djava.library.path=Include/java -cp . pidigits
