file_name,compiled,executed
Abbreviations.java,True,False
ABC.java,True,False
AbelianSandpileModel.java,True,False
AbundantOddNumbers.java,True,False
Accumulator.java,True,False
AccumulatorFactory.java,True,False
AchillesNumbers.java,True,False
Ackermann.java,False,False
additivePrimes.java,True,False
ADFGVXCipher.java,True,False
AksTest.java,True,False
AlgorithmS.java,True,False
AliquotSequenceClassifications.java,True,False
AllSameCharacters.java,True,False
AlmkvistGiulleraFormula.java,True,False
AlmostPrime.java,True,False
AmbTask.java,True,False
AmicablePairs.java,True,False
AngleDifference.java,True,False
AnglesNormalizationAndConversion.java,True,False
Antiprime.java,True,False
App.java,True,False
Approx.java,True,False
Approximate.java,True,False
ArenaStoragePool.java,False,False
Arguments.java,True,False
ArithmeticDerivative.java,True,False
ArithmeticEvaluation.java,False,False
ArithmeticGeometricMean.java,True,False
ArithmeticNumbers.java,True,False
ArrayCallback.java,True,False
ArrayCallback7.java,True,False
AsciiArtDiagramConverter.java,True,False
Attractive.java,True,False
AverageLoopLength.java,True,False
AverageMeanAngle.java,True,False
AVLtree.java,True,False
BalancedBrackets.java,True,False
BalancedTernary.java,True,False
BeadSort.java,False,False
Beer.java,True,False
Bell.java,True,False
BenfordsLaw.java,True,False
BernoulliNumbers.java,False,False
BestShuffle.java,True,False
Bias.java,True,False
BigRationalFindPerfectNumbers.java,False,False
BinaryLiteral.java,True,False
BinarySearchIterative.java,True,False
BinarySearchRecursive.java,True,False
Binomial.java,False,False
Bins.java,True,False
BioinformaticsGlobalAlignment.java,True,False
Biorythms.java,True,False
BitcoinAddressValidation.java,False,False
BitcoinAddressValidator.java,True,False
BitcoinPublicPointToAddess.java,False,False
Blah.java,True,False
BlumInteger.java,True,False
BogoSort.java,True,False
BoundedIntOutOfBoundsException.java,False,False
BoundedKnapsackForTourists.java,False,False
Box.java,False,False
BoyerMooreStringSearch.java,True,False
BraceExpansion.java,True,False
Brazilian.java,True,False
BrilliantNumbers.java,False,False
BullsAndCowsPlayerGame.java,False,False
CalculateE.java,True,False
Calculate_Pi.java,True,False
CalendarTask.java,True,False
CalkinWilfSequence.java,True,False
CamelCaseAndSnakeCase.java,True,False
CanonicalizeCIDR.java,True,False
CastingOutNines.java,True,False
CatlanNumbers.java,True,False
Chaocipher.java,True,False
ChernicksCarmichaelNumbers.java,True,False
Chess960.java,True,False
Chess960SPID.java,True,False
ChineseRemainderTheorem.java,True,False
Cholesky.java,True,False
Chowla.java,False,False
Church.java,True,False
Cipher.java,True,False
Circle.java,False,False
Circles.java,True,False
CircleSort.java,True,False
CircularPrimes.java,True,False
Cistercian.java,True,False
