task,normalized_path,github_api_url,java_file_name,java_raw_url,available
100 doors,100-doors,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/100-doors/Java,100-doors-1.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/100-doors/Java/100-doors-1.java,TRUE
100 doors,100-doors,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/100-doors/Java,100-doors-2.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/100-doors/Java/100-doors-2.java,TRUE
100 doors,100-doors,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/100-doors/Java,100-doors-3.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/100-doors/Java/100-doors-3.java,TRUE
100 doors,100-doors,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/100-doors/Java,100-doors-4.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/100-doors/Java/100-doors-4.java,TRUE
100 prisoners,100-prisoners,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/100-prisoners/Java,100-prisoners.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/100-prisoners/Java/100-prisoners.java,TRUE
15 puzzle game,15-puzzle-game,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/15-puzzle-game/Java,15-puzzle-game.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/15-puzzle-game/Java/15-puzzle-game.java,TRUE
15 puzzle solver,15-puzzle-solver,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/15-puzzle-solver/Java,15-puzzle-solver.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/15-puzzle-solver/Java/15-puzzle-solver.java,TRUE
2048,2048,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/2048/Java,2048.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/2048/Java/2048.java,TRUE
21 game,21-game,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/21-game/Java,21-game.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/21-game/Java/21-game.java,TRUE
24 game,24-game,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/24-game/Java,24-game.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/24-game/Java/24-game.java,TRUE
24 game/Solve,24-game-Solve,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/24-game-Solve/Java,24-game-solve.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/24-game-Solve/Java/24-game-solve.java,TRUE
4-rings or 4-squares puzzle,4-rings-or-4-squares-puzzle,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/4-rings-or-4-squares-puzzle/Java,4-rings-or-4-squares-puzzle.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/4-rings-or-4-squares-puzzle/Java/4-rings-or-4-squares-puzzle.java,TRUE
99 bottles of beer,99-bottles-of-beer,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/99-bottles-of-beer/Java,99-bottles-of-beer-1.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/99-bottles-of-beer/Java/99-bottles-of-beer-1.java,TRUE
99 bottles of beer,99-bottles-of-beer,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/99-bottles-of-beer/Java,99-bottles-of-beer-2.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/99-bottles-of-beer/Java/99-bottles-of-beer-2.java,TRUE
99 bottles of beer,99-bottles-of-beer,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/99-bottles-of-beer/Java,99-bottles-of-beer-3.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/99-bottles-of-beer/Java/99-bottles-of-beer-3.java,TRUE
99 bottles of beer,99-bottles-of-beer,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/99-bottles-of-beer/Java,99-bottles-of-beer-4.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/99-bottles-of-beer/Java/99-bottles-of-beer-4.java,TRUE
99 bottles of beer,99-bottles-of-beer,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/99-bottles-of-beer/Java,99-bottles-of-beer-5.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/99-bottles-of-beer/Java/99-bottles-of-beer-5.java,TRUE
9 billion names of God the integer,9-billion-names-of-God-the-integer,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/9-billion-names-of-God-the-integer/Java,9-billion-names-of-god-the-integer.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/9-billion-names-of-God-the-integer/Java/9-billion-names-of-god-the-integer.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-1.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-1.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-2.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-2.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-3.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-3.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-4.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-4.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-5.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-5.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-6.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-6.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-7.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-7.java,TRUE
A+B,A+B,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/A%2BB/Java,a+b-8.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/A+B/Java/a+b-8.java,TRUE
"Abbreviations, automatic",Abbreviations-automatic,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abbreviations-automatic/Java,abbreviations-automatic.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abbreviations-automatic/Java/abbreviations-automatic.java,TRUE
"Abbreviations, easy",Abbreviations-easy,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abbreviations-easy/Java,abbreviations-easy.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abbreviations-easy/Java/abbreviations-easy.java,TRUE
"Abbreviations, simple",Abbreviations-simple,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abbreviations-simple/Java,abbreviations-simple.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abbreviations-simple/Java/abbreviations-simple.java,TRUE
ABC problem,ABC-problem,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/ABC-problem/Java,abc-problem.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/ABC-problem/Java/abc-problem.java,TRUE
Abelian sandpile model,Abelian-sandpile-model,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abelian-sandpile-model/Java,abelian-sandpile-model.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abelian-sandpile-model/Java/abelian-sandpile-model.java,TRUE
Abelian sandpile model/Identity,Abelian-sandpile-model-Identity,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abelian-sandpile-model-Identity/Java,abelian-sandpile-model-identity.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abelian-sandpile-model-Identity/Java/abelian-sandpile-model-identity.java,TRUE
Abstract type,Abstract-type,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abstract-type/Java,abstract-type-1.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abstract-type/Java/abstract-type-1.java,TRUE
Abstract type,Abstract-type,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abstract-type/Java,abstract-type-2.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abstract-type/Java/abstract-type-2.java,TRUE
Abstract type,Abstract-type,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abstract-type/Java,abstract-type-3.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abstract-type/Java/abstract-type-3.java,TRUE
Abstract type,Abstract-type,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abstract-type/Java,abstract-type-4.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abstract-type/Java/abstract-type-4.java,TRUE
"Abundant, deficient and perfect number classifications",Abundant-deficient-and-perfect-number-classifications,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abundant-deficient-and-perfect-number-classifications/Java,abundant-deficient-and-perfect-number-classifications.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abundant-deficient-and-perfect-number-classifications/Java/abundant-deficient-and-perfect-number-classifications.java,TRUE
Abundant odd numbers,Abundant-odd-numbers,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Abundant-odd-numbers/Java,abundant-odd-numbers.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Abundant-odd-numbers/Java/abundant-odd-numbers.java,TRUE
Accumulator factory,Accumulator-factory,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Accumulator-factory/Java,accumulator-factory-1.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Accumulator-factory/Java/accumulator-factory-1.java,TRUE
Accumulator factory,Accumulator-factory,https://api.github.com/repos/acmeism/RosettaCodeData/contents/Task/Accumulator-factory/Java,accumulator-factory-2.java,https://raw.githubusercontent.com/acmeism/RosettaCodeData/main/Task/Accumulator-factory/Java/accumulator-factory-2.java,TRUE
