file_path,task,dropped,reason,final_filename,class_name
d:\Sync-New\greenLab\data\rosetta_code_grouped\100-doors\HundredDoors.java,100-doors,FALSE,OK,HundredDoors.java,HundredDoors
d:\Sync-New\greenLab\data\rosetta_code_grouped\100-prisoners\Main.java,100-prisoners,FALSE,OK,Main.java,Main
d:\Sync-New\greenLab\data\rosetta_code_grouped\15-puzzle-solver\Puzzle15Solver.java,15-puzzle-solver,FALSE,OK,Puzzle15Solver.java,Puzzle15Solver
d:\Sync-New\greenLab\data\rosetta_code_grouped\4-rings-or-4-squares-puzzle\FourSquares.java,4-rings-or-4-squares-puzzle,FALSE,OK,FourSquares.java,FourSquares
d:\Sync-New\greenLab\data\rosetta_code_grouped\9-billion-names-of-God-the-integer\Test.java,9-billion-names-of-God-the-integer,FALSE,OK,Test.java,Test
d:\Sync-New\greenLab\data\rosetta_code_grouped\99-bottles-of-beer\Beer.java,99-bottles-of-beer,FALSE,OK,Beer.java,Beer
d:\Sync-New\greenLab\data\rosetta_code_grouped\Abbreviations-automatic\Abbreviations.java,Abbreviations-automatic,FALSE,OK,Abbreviations.java,Abbreviations
d:\Sync-New\greenLab\data\rosetta_code_grouped\ABC-problem\ABC.java,ABC-problem,FALSE,OK,ABC.java,ABC
d:\Sync-New\greenLab\data\rosetta_code_grouped\Abelian-sandpile-model-Identity\AbelianSandpileModel.java,Abelian-sandpile-model-Identity,FALSE,OK,AbelianSandpileModel.java,AbelianSandpileModel
d:\Sync-New\greenLab\data\rosetta_code_grouped\Abundant-deficient-and-perfect-number-classifications\NumberClassifications.java,Abundant-deficient-and-perfect-number-classifications,FALSE,OK,NumberClassifications.java,NumberClassifications
d:\Sync-New\greenLab\data\rosetta_code_grouped\Abundant-odd-numbers\AbundantOddNumbers.java,Abundant-odd-numbers,FALSE,OK,AbundantOddNumbers.java,AbundantOddNumbers
d:\Sync-New\greenLab\data\rosetta_code_grouped\Accumulator-factory\Accumulator.java,Accumulator-factory,FALSE,OK,Accumulator.java,Accumulator
d:\Sync-New\greenLab\data\rosetta_code_grouped\Accumulator-factory\AccumulatorFactory.java,Accumulator-factory,FALSE,OK,AccumulatorFactory.java,AccumulatorFactory
