Method_name,energy(joules)
ABC.main,0.0
ADFGVXCipher..Lambda.69/0x00007f5c5000b410.test,0.0
ADFGVXCipher.createKey,0.0
ADFGVXCipher.decrypt,0.0
ADFGVXCipher.encrypt,0.0
ADFGVXCipher.initialisePolybiusSquare,0.0
ADFGVXCipher.lambda.createKey.1,0.0
ADFGVXCipher.lambda.createKey.2,0.0
ADFGVXCipher.main,0.0
AVLtree.main,0.0
AVLtree.printBalance,0.0
Abbreviations.main,0.0
AbelianSandpileModel.main,0.0
AbundantOddNumbers.abundantOdd,9782.1185
AbundantOddNumbers.sumList,3.8251
AchillesNumbers.getAchilles,0.0
AchillesNumbers.getPerfectPowers,0.0
AchillesNumbers.main,0.0
AchillesNumbers.totient,0.0
Address.addressRecord,0.0
AksTest.coeff,0.0
AksTest.main,0.0
AksTest.show,0.0
AlgorithmS.1.<init>,0.0
AlgorithmS.1.call,0.0
AlgorithmS.main,0.0
AliquotSequenceClassifications.aliquot,0.0
AliquotSequenceClassifications.main,0.0
AliquotSequenceClassifications.properDivsSum,0.0
AliquotSequenceClassifications.report,0.0
AllSameCharacters.analyse,0.0
AlmkvistGiulleraFormula.almkvistGiullera,0.0
AlmkvistGiulleraFormula.factorial,0.0
AlmkvistGiulleraFormula.main,0.0
AlmostPrime.main,0.0
AmicablePairs..Lambda.69/0x00007fbb5800af60.test,54.6051
AmicablePairs..Lambda.76/0x00007fbb5800b650.accept,0.0
AmicablePairs.lambda.main.0,0.0
AmicablePairs.main,0.0
AmicablePairs.properDivsSum,220.6388
AngleDifference.main,0.0
AnglesNormalizationAndConversion.main,0.0
Antiprime.countDivisors,0.0
Antiprime.main,0.0
App.RNG.nextFloat,0.0
App.RNG.nextInt,0.0
App.main,0.0
Approx.toString,0.0
Approximate.test,0.0
Arguments.main,0.0
ArithmeticDerivative.derivative,0.0
ArithmeticDerivative.main,0.0
ArithmeticGeometricMean.main,0.0
ArithmeticNumbers..Lambda.61/0x00007f070800aad8.get,0.1819
ArithmeticNumbers.factors,5217.9333
ArithmeticNumbers.main,590.1453
ArrayCallback.lambda.main.0,0.0
ArrayCallback.main,0.0
ArrayCallback7.1.run,0.0
AsciiArtDiagramConverter.display,0.0
AsciiArtDiagramConverter.displayCode,0.0
AsciiArtDiagramConverter.displayMap,0.0
AsciiArtDiagramConverter.validate,0.0
Attractive.main,0.0
AverageLoopLength.analytical,0.0632
AverageLoopLength.average,483.8501
AverageLoopLength.main,2.0936
AverageMeanAngle.printAverageAngle,0.0
BalancedBrackets.main,0.0
BalancedTernary.BTernary.add,0.0
BalancedTernary.BTernary.addDigits,0.0
