task,Method_name,execution_time(ms)
Abbreviations,Abbreviations.main,87.07263900000002
ABC,ABC.main,12.015064000000002
ABC,ABC.canMakeWord,6.000678
AbelianSandpileModel,AbelianSandpileModel.main,23.025433
AbundantOddNumbers,AbundantOddNumbers.main,157531.355938
AbundantOddNumbers,AbundantOddNumbers.abundantOdd,157531.355938
AbundantOddNumbers,AbundantOddNumbers.sumList,44.011838000000004
AccumulatorFactory,AccumulatorFactory.main,2.005826
AccumulatorFactory,AccumulatorFactory.accumulator,2.005826
AchillesNumbers,AchillesNumbers.main,146.12363200000001
AchillesNumbers,AchillesNumbers.getAchilles,73.04380599999999
AchillesNumbers,AchillesNumbers.getPerfectPowers,33.031620999999994
additivePrimes,additivePrimes.main,13.01447
ADFGVXCipher,ADFGVXCipher.main,217.2113860000001
ADFGVXCipher,ADFGVXCipher.createKey,182.1165310000001
ADFGVXCipher,ADFGVXCipher.65.test,74.019883
ADFGVXCipher,ADFGVXCipher.createKey.1,74.019883
ADFGVXCipher,ADFGVXCipher.encrypt,16.033184000000002
ADFGVXCipher,ADFGVXCipher.66.test,9.01117
ADFGVXCipher,ADFGVXCipher.createKey.2,9.01117
ADFGVXCipher,ADFGVXCipher.69.test,1.000386
ADFGVXCipher,ADFGVXCipher.decrypt,7.037153
ADFGVXCipher,ADFGVXCipher.initialisePolybiusSquare,1.001103
ADFGVXCipher,ADFGVXCipher.64.test,1.000867
AksTest,AksTest.main,32.03352099999999
AksTest,AksTest.show,16.03691
AksTest,AksTest.isPrime,9.005244
AksTest,AksTest.coeff,9.005244
AlgorithmS,AlgorithmS.main,505.165177
AlgorithmS,AlgorithmS.1.call,502.13276400000007
AlgorithmS,AlgorithmS.s_of_n_creator,18.012288
AlgorithmS,AlgorithmS.1.<init>,18.012288
AliquotSequenceClassifications,AliquotSequenceClassifications.main,970.3451360000001
AliquotSequenceClassifications,AliquotSequenceClassifications.65.accept,959.3168410000001
AliquotSequenceClassifications,AliquotSequenceClassifications.main.2,959.3168410000001
AliquotSequenceClassifications,AliquotSequenceClassifications.aliquot,967.3385040000003
AliquotSequenceClassifications,AliquotSequenceClassifications.report,9.014419
AliquotSequenceClassifications,AliquotSequenceClassifications.61.accept,8.021663
AliquotSequenceClassifications,AliquotSequenceClassifications.main.1,8.021663
AliquotSequenceClassifications,AliquotSequenceClassifications.properDivsSum,948.2904730000001
AliquotSequenceClassifications,AliquotSequenceClassifications.63.test,919.282728
AliquotSequenceClassifications,AliquotSequenceClassifications.properDivsSum.0,919.282728
AllSameCharacters,AllSameCharacters.main,15.016295999999997
AllSameCharacters,AllSameCharacters.analyse,15.016295999999997
AllSameCharacters,AllSameCharacters.62.test,1.001148
AlmkvistGiulleraFormula,AlmkvistGiulleraFormula.main,1081.66798
AlmkvistGiulleraFormula,AlmkvistGiulleraFormula.almkvistGiullera,29.027750999999995
AlmkvistGiulleraFormula,AlmkvistGiulleraFormula.factorial,21.020609999999998
AlmostPrime,AlmostPrime.main,13.012639000000004
AmbTask,AmbTask.main,4.0077110000000005
AmbTask,AmbTask.Amb,3.005254
AmbTask,AmbTask.amb,3.005254
AmicablePairs,AmicablePairs.main,1580.9726089999995
AmicablePairs,AmicablePairs.64.apply,48168.178131
AmicablePairs,AmicablePairs.properDivsSum,48168.178131
AmicablePairs,AmicablePairs.69.test,8752.502791999997
AmicablePairs,AmicablePairs.properDivsSum.1,8567.254544999998
